experience,age,governorate,disability,education,gender,clusters,nodes,durations,unemployment_spell,last_job_c
1,20,zarqa,no_disability,vocational_training,male,1,44,5.1,5.1,1
0,20,amman,no_disability,secondary_or_below,male,2,37,20.233334,20.233334,1
1,20,irbid,no_disability,secondary_or_below,male,1,54,3.0,3.0,0
0,20,amman,no_disability,secondary_or_below,male,2,37,11.166667,11.166667,1
0,20,irbid,no_disability,secondary_or_below,male,2,25,10.314388,10.314388,0
0,20,irbid,no_disability,secondary_or_below,male,2,25,9.719857,9.719857,1
0,20,irbid,no_disability,secondary_or_below,male,2,25,2.0333333,2.0333333,1
0,20,al_aqaba,no_disability,secondary_or_below,male,1,18,9.480989,9.480989,1
5,20,amman,no_disability,secondary_or_below,male,0,97,4.0666666,4.0666666,0
0,20,amman,no_disability,vocational_training,male,1,35,9.313346,9.313346,1
0,20,amman,no_disability,secondary_or_below,male,2,37,4.0666666,4.0666666,1
0,20,irbid,no_disability,secondary_or_below,male,2,25,20.3,20.3,0
0,20,amman,no_disability,secondary_or_below,male,2,37,2.9863281,2.9863281,1
0,20,irbid,no_disability,secondary_or_below,male,2,25,11.133333,11.133333,0
0,20,jarash,no_disability,secondary_or_below,male,1,14,13.166667,13.166667,0
5,30,irbid,no_disability,bachelor_or_above,male,0,69,12.2,12.2,1
0,20,amman,no_disability,secondary_or_below,male,2,37,8.980664,8.980664,1
0,20,amman,no_disability,secondary_or_below,male,2,37,6.0333333,6.0333333,1
0,20,irbid,no_disability,secondary_or_below,male,2,25,17.054037,17.054037,0
0,20,amman,no_disability,secondary_or_below,male,2,37,3.0666666,3.0666666,1
0,20,amman,no_disability,secondary_or_below,male,2,37,11.233334,11.233334,1
0,20,balqa,no_disability,secondary_or_below,male,1,15,10.133333,10.133333,0
0,20,zarqa,no_disability,secondary_or_below,male,2,21,2.0666666,2.0666666,0
0,20,maadaba,no_disability,secondary_or_below,male,1,17,13.017578,13.017578,1
0,20,zarqa,no_disability,secondary_or_below,male,2,21,14.2,14.2,1
0,20,tafileh,no_disability,secondary_or_below,male,1,14,22.333334,22.333334,0
0,20,zarqa,no_disability,vocational_training,male,1,20,3.5513673,3.5513673,1
0,20,zarqa,no_disability,vocational_training,male,1,20,12.166667,12.166667,0
1,20,al_kirk,no_disability,secondary_or_below,male,1,50,13.2,13.2,1
1,20,al_kirk,no_disability,secondary_or_below,male,1,50,3.0,3.0,1
0,20,amman,no_disability,secondary_or_below,male,2,37,16.233334,16.233334,0
0,20,amman,no_disability,vocational_training,male,1,35,6.6501303,6.6501303,1
0,20,al_aqaba,no_disability,secondary_or_below,male,1,18,4.0797524,4.0797524,1
