experience,age,governorate,disability,education,gender,clusters,nodes,durations
365.0,17.61917808219178,zarqa,no_disability,vocational_training,male,1,23,5.1
31.0,17.731506849315068,amman,no_disability,secondary_or_below,male,2,2,20.233334
275.0,19.03287671232877,irbid,no_disability,secondary_or_below,male,1,17,3.0
61.0,18.254794520547946,amman,no_disability,secondary_or_below,male,2,4,11.166667
0.0,19.186301369863013,irbid,no_disability,secondary_or_below,male,0,11,10.314388
0.0,18.15068493150685,irbid,no_disability,secondary_or_below,male,0,10,9.719857
121.0,19.28219178082192,irbid,no_disability,secondary_or_below,male,2,3,2.0333333
0.0,17.93972602739726,al_aqaba,no_disability,secondary_or_below,male,0,10,9.480989
1003.0,18.30958904109589,amman,no_disability,secondary_or_below,male,1,28,4.0666666
0.0,18.764383561643836,amman,no_disability,vocational_training,male,0,25,9.313346
31.0,17.624657534246577,amman,no_disability,secondary_or_below,male,2,2,4.0666666
31.0,18.28767123287671,irbid,no_disability,secondary_or_below,male,2,2,20.3
0.0,18.80821917808219,amman,no_disability,secondary_or_below,male,0,25,2.9863281
92.0,19.0986301369863,irbid,no_disability,secondary_or_below,male,2,3,11.133333
61.0,18.854794520547944,jarash,no_disability,secondary_or_below,male,2,4,13.166667
1094.0,25.336986301369862,irbid,no_disability,bachelor_or_above,male,2,7,12.2
0.0,17.816438356164383,amman,no_disability,secondary_or_below,male,0,10,8.980664
62.0,18.726027397260275,amman,no_disability,secondary_or_below,male,2,4,6.0333333
0.0,17.71232876712329,irbid,no_disability,secondary_or_below,male,0,10,17.054037
123.0,16.86027397260274,amman,no_disability,secondary_or_below,male,1,23,3.0666666
151.0,17.18904109589041,amman,no_disability,secondary_or_below,male,1,23,11.233334
122.0,17.931506849315067,balqa,no_disability,secondary_or_below,male,1,23,10.133333
150.0,18.5013698630137,zarqa,no_disability,secondary_or_below,male,1,23,2.0666666
0.0,17.616438356164384,maadaba,no_disability,secondary_or_below,male,0,10,13.017578
120.0,18.432876712328767,zarqa,no_disability,secondary_or_below,male,1,23,14.2
123.0,18.863013698630137,tafileh,no_disability,secondary_or_below,male,2,3,22.333334
0.0,17.80821917808219,zarqa,no_disability,vocational_training,male,0,10,3.5513673
28.0,18.17808219178082,zarqa,no_disability,vocational_training,male,2,2,12.166667
184.0,19.534246575342465,al_kirk,no_disability,secondary_or_below,male,2,3,13.2
245.0,21.956164383561642,al_kirk,no_disability,secondary_or_below,male,1,13,3.0
62.0,19.575342465753426,amman,no_disability,secondary_or_below,male,2,1,16.233334
0.0,18.97808219178082,amman,no_disability,vocational_training,male,0,25,6.6501303
0.0,19.564383561643837,al_aqaba,no_disability,secondary_or_below,male,0,11,4.0797524
184.0,20.421917808219177,amman,no_disability,vocational_training,male,2,8,3.0333333
59.0,18.224657534246575,irbid,no_disability,secondary_or_below,male,2,4,4.0666666
90.0,18.643835616438356,irbid,no_disability,secondary_or_below,male,2,4,17.266666
0.0,17.578082191780823,amman,no_disability,vocational_training,male,0,10,3.3515625
0.0,19.21095890410959,zarqa,no_disability,vocational_training,male,0,11,15.316862
0.0,17.065753424657533,al_aqaba,no_disability,secondary_or_below,male,0,10,21.785612
243.0,19.695890410958903,maadaba,no_disability,secondary_or_below,male,1,17,12.2
28.0,17.24109589041096,zarqa,no_disability,secondary_or_below,male,2,2,32.5
0.0,18.56986301369863,amman,no_disability,secondary_or_below,male,0,25,12.45013
0.0,18.295890410958904,irbid,no_disability,secondary_or_below,male,0,10,16.148893
0.0,19.34246575342466,zarqa,no_disability,vocational_training,male,0,11,7.883138
0.0,18.26027397260274,irbid,no_disability,secondary_or_below,male,0,10,15.047331
0.0,18.610958904109587,maan,no_disability,secondary_or_below,male,0,25,5.751042
31.0,18.67945205479452,zarqa,no_disability,secondary_or_below,male,2,0,8.066667
0.0,18.19178082191781,irbid,no_disability,secondary_or_below,male,0,10,4.048763
59.0,18.17808219178082,amman,no_disability,secondary_or_below,male,2,4,23.4
30.0,18.76164383561644,amman,no_disability,secondary_or_below,male,2,0,16.266666
0.0,19.263013698630136,amman,no_disability,secondary_or_below,male,0,11,6.4513674
0.0,17.753424657534246,irbid,no_disability,secondary_or_below,male,0,10,3.9811199
120.0,18.465753424657535,al_kirk,no_disability,secondary_or_below,male,1,23,6.1
181.0,18.556164383561644,amman,no_disability,secondary_or_below,male,1,20,13.2
212.0,19.726027397260275,amman,no_disability,secondary_or_below,male,2,8,4.0666666
303.0,20.30958904109589,amman,no_disability,secondary_or_below,male,2,8,2.0333333
0.0,18.0986301369863,zarqa,no_disability,secondary_or_below,male,0,10,9.612761
92.0,19.457534246575342,amman,no_disability,secondary_or_below,male,1,20,6.1
0.0,18.915068493150685,irbid,no_disability,vocational_training,male,0,25,2.2529948
30.0,16.534246575342465,amman,no_disability,secondary_or_below,male,2,2,5.1
151.0,17.284931506849315,amman,no_disability,secondary_or_below,male,1,23,9.166667
182.0,18.123287671232877,amman,no_disability,secondary_or_below,male,1,23,14.133333
215.0,20.18082191780822,jarash,no_disability,secondary_or_below,male,1,17,6.0666666
31.0,17.923287671232877,zarqa,no_disability,secondary_or_below,male,2,2,46.633335
123.0,22.008219178082193,zarqa,no_disability,secondary_or_below,male,2,9,6.0666666
153.0,22.589041095890412,zarqa,no_disability,secondary_or_below,male,2,9,11.2
577.0,19.665753424657535,balqa,no_disability,secondary_or_below,male,1,14,2.0333333
0.0,18.9013698630137,zarqa,no_disability,secondary_or_below,male,0,25,15.386979
0.0,17.76986301369863,al_kirk,no_disability,secondary_or_below,male,0,10,23.717318
243.0,18.65753424657534,irbid,no_disability,secondary_or_below,male,1,17,15.2
